"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2022-10-04","89.3","2.43","6.01","Harris II, Michael",671739,666129,"sac_bunt","hit_into_play",,,,,6,"Michael Harris II out on a sacrifice bunt, third baseman Jordan Groshans to second baseman Jon Berti.   William Contreras to 3rd.    Orlando Arcia to 2nd.","R","L","L","MIA","ATL","X",5,"ground_ball",0,0,2022,"1.53","0.69","0.39","2.24",,661388,606115,0,4,"Top",117.76,190.66,,,607732,,,-8.285264863750523,-129.7423515309305,-4.6746118461174,19.072929617417632,29.46266145156918,-23.528924039873342,"3.53","1.59",4,"28.9",-27,"89.2",2065,"6.5",661423,666129,607732,650331,542932,677954,621563,660821,650559,605119,"53.99",0.28,0.287,"0.25",0,0,0,1,28,1,"Sinker",0,1,1,0,1,0,1,0,"Strategic","Standard",141,"-0.002","0.026"
"FF","2022-10-04","91.9","2.32","5.99","Harris II, Michael",671739,666129,"walk","ball",,,,,13,"Michael Harris II walks.   Orlando Arcia to 2nd.","R","L","L","MIA","ATL","B",,,3,0,2022,"0.73","1.43","-0.12","1.1",,,606115,1,2,"Top",,,,,607732,,,-7.7951532753501445,-133.22506314915807,-9.631593206078993,10.36191968315571,29.99058865900474,-13.141909646419961,"3.26","1.41",,,,"92.1",2271,"6.7",661423,666129,607732,650331,542932,677954,621563,660821,650559,605119,"53.8",,,"0.7",1,0,0,,11,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",141,"-0.037","0.15"
"FF","2022-10-04","91.7","2.47","6.04","Harris II, Michael",671739,666129,,"ball",,,,,12,"Michael Harris II walks.   Orlando Arcia to 2nd.","R","L","L","MIA","ATL","B",,,2,0,2022,"0.75","1.34","1.03","2.73",,,606115,1,2,"Top",,,,,607732,,,-5.304747991179969,-133.42386858316684,-5.438138755656153,10.127055342452838,28.807502509679832,-15.249515167190195,"3.43","1.6",,,,"92.1",2261,"6.5",661423,666129,607732,650331,542932,677954,621563,660821,650559,605119,"53.96",,,,,,,,11,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Standard",141,"0","0.108"
"SI","2022-10-04","91","2.6","6.03","Harris II, Michael",671739,666129,,"ball",,,,,12,"Michael Harris II walks.   Orlando Arcia to 2nd.","R","L","L","MIA","ATL","B",,,1,0,2022,"1.33","0.87","1.65","2.82",,,606115,1,2,"Top",,,,,607732,,,-5.246643926550369,-132.40587990373683,-4.016179847814318,16.79645776713533,28.622558405586975,-21.2909961240637,"3.51","1.72",,,,"91.2",2100,"6.4",661423,666129,607732,650331,542932,677954,621563,660821,650559,605119,"54.06",,,,,,,,11,2,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",144,"0","0.08"
"SI","2022-10-04","90.7","2.59","6.1","Harris II, Michael",671739,666129,,"ball",,,,,12,"Michael Harris II walks.   Orlando Arcia to 2nd.","R","L","L","MIA","ATL","B",,,0,0,2022,"1.48","0.74","1.61","3.22",,,606115,1,2,"Top",,,,,607732,,,-5.6561053708740285,-131.9384157663478,-2.8416165084243468,18.465496152885073,30.34568485569061,-23.10757971344746,"3.52","1.8",,,,"91",1991,"6.6",661423,666129,607732,650331,542932,677954,621563,660821,650559,605119,"53.85",,,,,,,,11,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",141,"0","0.042"
"CH","2022-10-04","87.8","-1.83","6.06","Harris II, Michael",671739,623211,"single","hit_into_play",,,,,4,"Michael Harris II singles on a ground ball to third baseman Jordan Groshans.","R","L","R","MIA","ATL","X",5,"ground_ball",1,1,2022,"-1.52","0.28","-0.29","2.47",,,,0,6,"Top",104.91,174.24,,,607732,,,6.765148934949733,-127.56176933847549,-3.0380717036148033,-17.98863038514856,28.967636800188735,-28.664595982299183,"3.53","1.59",33,"64.7",0,"86.2",1872,"5.6",661423,623211,607732,650331,542932,677954,621563,660821,650559,605119,"54.89",0.129,0.116,"0.9",1,1,0,2,44,3,"Changeup",1,2,2,1,2,1,2,1,"Standard","Standard",230,"-0.037","0.404"
"CH","2022-10-04","87.5","-1.94","5.98","Harris II, Michael",671739,623211,,"ball",,,,,11,"Michael Harris II singles on a ground ball to third baseman Jordan Groshans.","R","L","R","MIA","ATL","B",,,0,1,2022,"-1.54","0.09","-1.54","3.64",,,,0,6,"Top",,,,,607732,,,4.0726499610466185,-127.35560823230176,0.35025878079488226,-17.508450851541735,28.554289715762277,-31.570101287497973,"3.5","1.69",,,,"85.7",1768,"5.3",661423,623211,607732,650331,542932,677954,621563,660821,650559,605119,"55.16",,,,,,,,44,2,"Changeup",1,2,2,1,2,1,2,1,"Standard","Standard",234,"0","0.025"
"FF","2022-10-04","97.1","-1.68","5.9","Harris II, Michael",671739,623211,,"called_strike",,,,,8,"Michael Harris II singles on a ground ball to third baseman Jordan Groshans.","R","L","R","MIA","ATL","S",,,0,0,2022,"-0.7","1.44","-0.01","2.19",,,,0,6,"Top",,,,,607732,,,6.000344044767077,-141.08546511573263,-7.569594711273094,-10.71878116420106,34.201892858157564,-11.384292814242633,"3.5","1.76",,,,"95.8",2229,"5.8",661423,623211,607732,650331,542932,677954,621563,660821,650559,605119,"54.72",,,,,,,,44,1,"4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard",225,"0","-0.034"
"SL","2022-10-04","89.2","2.83","5.21","Harris II, Michael",671739,656945,"field_out","hit_into_play",,,,,5,"Michael Harris II grounds out sharply to first baseman Lewin Diaz.","R","L","L","MIA","ATL","X",3,"ground_ball",1,1,2022,"-0.38","-0.15","0","2.35",,,,0,8,"Top",158.3,165.38,,,607732,,,-6.130951770516587,-129.72704659292106,-0.6646057477872168,-2.9518518957612008,28.045249083625915,-33.93794586173476,"3.53","1.59",8,"103.1",-17,"88.7",2668,"6.1",661423,656945,607732,650331,542932,677954,621563,660821,650559,605119,"54.45",0.217,0.204,"0",1,0,0,2,61,3,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",249,"0.022","-0.212"
"SL","2022-10-04","88.7","2.84","5.26","Harris II, Michael",671739,656945,,"called_strike",,,,,6,"Michael Harris II grounds out sharply to first baseman Lewin Diaz.","R","L","L","MIA","ATL","S",,,1,0,2022,"-0.6","0.15","0.33","2.29",,,,0,8,"Top",,,,,607732,,,-4.838394727484306,-129.1898139281801,-1.5521818354379353,-5.795590081583873,25.53230834038885,-30.420250884009103,"3.47","1.65",,,,"88.5",2737,"6",661423,656945,607732,650331,542932,677954,621563,660821,650559,605119,"54.5",,,,,,,,61,2,"Slider",1,2,2,1,2,1,2,1,"Standard","Standard",255,"0","-0.043"
